,mutation_prob,GC,n_parental,n_mutated,parental_fraction,count
0,0.3333333333333333,C_GC5_3,0,30,0.0,7682
1,0.3333333333333333,M3R-S6: CY,0,29,0.0,7494
2,0.3333333333333333,M2L-S7:Y,0,38,0.0,7000
3,0.3333333333333333,M3L-S21: C,0,48,0.0,6887
4,0.3333333333333333,M9-6.1:4_1 R,0,53,0.0,6575
5,0.3333333333333333,M1L_-S51:Y,0,54,0.0,6549
6,0.3333333333333333,C_GC3_2,0,73,0.0,6490
7,0.3333333333333333,M1L-S21: C,0,34,0.0,6424
8,0.3333333333333333,M7L-S22: R,0,42,0.0,6408
9,0.3333333333333333,M8-5.2:3_1 RY,0,68,0.0,6241
10,0.3333333333333333,M4L-S22: G,0,68,0.0,6114
11,0.3333333333333333,M8-4.1:2_1 Y,0,66,0.0,6008
12,0.25808789422704237,C_GC5_3,0,30,0.0,3885
13,0.25808789422704237,M3R-S6: CY,0,29,0.0,3812
14,0.25808789422704237,M2L-S7:Y,0,38,0.0,3277
15,0.25808789422704237,M3L-S21: C,0,48,0.0,3161
16,0.25808789422704237,M1L-S21: C,0,34,0.0,2964
17,0.25808789422704237,M9-6.1:4_1 R,0,53,0.0,2883
18,0.25808789422704237,M7L-S22: R,0,42,0.0,2848
19,0.25808789422704237,C_GC3_2,0,73,0.0,2759
20,0.25808789422704237,M1L_-S51:Y,0,54,0.0,2755
21,0.25808789422704237,M8-5.2:3_1 RY,0,68,0.0,2637
22,0.25808789422704237,M4L-S22: G,0,68,0.0,2531
23,0.25808789422704237,M8-4.1:2_1 Y,0,66,0.0,2454
24,0.3333333333333333,M1L-S21: C,1,33,0.029411764705882353,2202
25,0.3333333333333333,M8-5.2:3_1 RY,1,67,0.014705882352941176,2139
26,0.3333333333333333,M4L-S22: G,1,67,0.014705882352941176,2135
27,0.3333333333333333,M7L-S22: R,1,41,0.023809523809523808,2100
28,0.3333333333333333,M8-4.1:2_1 Y,1,65,0.015151515151515152,2100
29,0.3333333333333333,M9-6.1:4_1 R,1,52,0.018867924528301886,2071
30,0.3333333333333333,C_GC3_2,1,72,0.0136986301369863,2069
31,0.3333333333333333,M1L_-S51:Y,1,53,0.018518518518518517,2038
32,0.3333333333333333,M2L-S7:Y,1,37,0.02631578947368421,1981
33,0.3333333333333333,M3L-S21: C,1,47,0.020833333333333332,1973
34,0.25808789422704237,C_GC5_3,1,29,0.03333333333333333,1928
35,0.25808789422704237,M3R-S6: CY,1,28,0.034482758620689655,1901
36,0.3333333333333333,M3R-S6: CY,1,28,0.034482758620689655,1823
37,0.25808789422704237,M2L-S7:Y,1,37,0.02631578947368421,1821
38,0.25808789422704237,M1L-S21: C,1,33,0.029411764705882353,1789
39,0.25808789422704237,M3L-S21: C,1,47,0.020833333333333332,1731
40,0.3333333333333333,C_GC5_3,1,29,0.03333333333333333,1722
41,0.25808789422704237,M7L-S22: R,1,41,0.023809523809523808,1634
42,0.25808789422704237,M1L_-S51:Y,1,53,0.018518518518518517,1630
43,0.25808789422704237,M9-6.1:4_1 R,1,52,0.018867924528301886,1630
44,0.19982808343964698,C_GC5_3,0,30,0.0,1590
45,0.25808789422704237,C_GC3_2,1,72,0.0136986301369863,1547
46,0.19982808343964698,M3R-S6: CY,0,29,0.0,1519
47,0.25808789422704237,M8-5.2:3_1 RY,1,67,0.014705882352941176,1456
48,0.25808789422704237,M4L-S22: G,1,67,0.014705882352941176,1399
49,0.25808789422704237,M8-4.1:2_1 Y,1,65,0.015151515151515152,1370
50,0.19982808343964698,M2L-S7:Y,0,38,0.0,1300
51,0.19982808343964698,C_GC5_3,1,29,0.03333333333333333,1279
52,0.25808789422704237,M7L-S22: R,2,40,0.047619047619047616,1235
53,0.25808789422704237,M2L-S7:Y,2,36,0.05263157894736842,1234
54,0.25808789422704237,M9-6.1:4_1 R,2,51,0.03773584905660377,1227
55,0.25808789422704237,M8-4.1:2_1 Y,2,64,0.030303030303030304,1213
56,0.19982808343964698,M3L-S21: C,0,48,0.0,1213
57,0.25808789422704237,M1L_-S51:Y,2,52,0.037037037037037035,1203
58,0.25808789422704237,M4L-S22: G,2,66,0.029411764705882353,1199
59,0.25808789422704237,M1L-S21: C,2,32,0.058823529411764705,1197
60,0.25808789422704237,M8-5.2:3_1 RY,2,66,0.029411764705882353,1186
61,0.19982808343964698,M1L-S21: C,0,34,0.0,1184
62,0.25808789422704237,M3L-S21: C,2,46,0.041666666666666664,1181
63,0.25808789422704237,C_GC3_2,2,71,0.0273972602739726,1158
64,0.19982808343964698,M3R-S6: CY,1,28,0.034482758620689655,1158
65,0.25808789422704237,M3R-S6: CY,2,27,0.06896551724137931,1092
66,0.19982808343964698,M9-6.1:4_1 R,0,53,0.0,1083
67,0.19982808343964698,M3R-S6: CY,2,27,0.06896551724137931,1082
68,0.19982808343964698,M7L-S22: R,0,42,0.0,1078
69,0.25808789422704237,C_GC5_3,2,28,0.06666666666666667,1075
70,0.3333333333333333,M8-4.1:2_1 Y,2,64,0.030303030303030304,1062
71,0.19982808343964698,M1L_-S51:Y,0,54,0.0,1040
72,0.19982808343964698,C_GC5_3,2,28,0.06666666666666667,1025
73,0.3333333333333333,M4L-S22: G,2,66,0.029411764705882353,1003
74,0.19982808343964698,M2L-S7:Y,1,37,0.02631578947368421,979
75,0.19982808343964698,C_GC3_2,0,73,0.0,975
76,0.3333333333333333,M8-5.2:3_1 RY,2,66,0.029411764705882353,955
77,0.19982808343964698,M4L-S22: G,0,68,0.0,943
78,0.3333333333333333,M7L-S22: R,2,40,0.047619047619047616,925
79,0.19982808343964698,M8-4.1:2_1 Y,0,66,0.0,901
80,0.19982808343964698,M8-5.2:3_1 RY,0,68,0.0,899
81,0.3333333333333333,C_GC3_2,2,71,0.0273972602739726,899
82,0.3333333333333333,M1L-S21: C,2,32,0.058823529411764705,895
83,0.19982808343964698,M1L-S21: C,2,32,0.058823529411764705,892
84,0.19982808343964698,M2L-S7:Y,2,36,0.05263157894736842,887
85,0.25808789422704237,C_GC3_2,3,70,0.0410958904109589,880
86,0.3333333333333333,M1L_-S51:Y,2,52,0.037037037037037035,875
87,0.25808789422704237,M8-4.1:2_1 Y,3,63,0.045454545454545456,869
88,0.25808789422704237,M8-5.2:3_1 RY,3,65,0.04411764705882353,866
89,0.25808789422704237,M1L_-S51:Y,3,51,0.05555555555555555,865
90,0.25808789422704237,M4L-S22: G,3,65,0.04411764705882353,862
91,0.3333333333333333,M9-6.1:4_1 R,2,51,0.03773584905660377,856
92,0.19982808343964698,M1L-S21: C,1,33,0.029411764705882353,831
93,0.25808789422704237,M7L-S22: R,3,39,0.07142857142857142,829
94,0.19982808343964698,M7L-S22: R,1,41,0.023809523809523808,825
95,0.19982808343964698,M3L-S21: C,2,46,0.041666666666666664,823
96,0.19982808343964698,M3R-S6: CY,3,26,0.10344827586206896,815
97,0.25808789422704237,M9-6.1:4_1 R,3,50,0.05660377358490566,812
98,0.19982808343964698,M3L-S21: C,1,47,0.020833333333333332,800
99,0.25808789422704237,M1L-S21: C,3,31,0.08823529411764706,794
100,0.19982808343964698,M7L-S22: R,2,40,0.047619047619047616,779
101,0.19982808343964698,M1L-S21: C,3,31,0.08823529411764706,769
102,0.19982808343964698,M3L-S21: C,3,45,0.0625,767
103,0.3333333333333333,M3L-S21: C,2,46,0.041666666666666664,760
104,0.19982808343964698,M2L-S7:Y,3,35,0.07894736842105263,756
105,0.19982808343964698,M9-6.1:4_1 R,2,51,0.03773584905660377,752
106,0.19982808343964698,C_GC5_3,3,27,0.1,751
107,0.25808789422704237,M3L-S21: C,3,45,0.0625,749
108,0.19982808343964698,M1L_-S51:Y,2,52,0.037037037037037035,742
109,0.19982808343964698,M9-6.1:4_1 R,1,52,0.018867924528301886,741
110,0.19982808343964698,M7L-S22: R,3,39,0.07142857142857142,729
111,0.19982808343964698,C_GC3_2,1,72,0.0136986301369863,718
112,0.3333333333333333,M2L-S7:Y,2,36,0.05263157894736842,705
113,0.19982808343964698,M1L_-S51:Y,1,53,0.018518518518518517,694
114,0.19982808343964698,M9-6.1:4_1 R,3,50,0.05660377358490566,691
115,0.25808789422704237,M2L-S7:Y,3,35,0.07894736842105263,680
116,0.19982808343964698,M9-6.1:4_1 R,4,49,0.07547169811320754,675
117,0.19982808343964698,M1L_-S51:Y,4,50,0.07407407407407407,665
118,0.25808789422704237,M8-4.1:2_1 Y,4,62,0.06060606060606061,658
119,0.19982808343964698,M4L-S22: G,1,67,0.014705882352941176,655
120,0.25808789422704237,M4L-S22: G,4,64,0.058823529411764705,652
121,0.19982808343964698,M1L_-S51:Y,3,51,0.05555555555555555,644
122,0.19982808343964698,M3L-S21: C,4,44,0.08333333333333333,640
123,0.15471962778709264,C_GC5_3,0,30,0.0,636
124,0.19982808343964698,M2L-S7:Y,4,34,0.10526315789473684,625
125,0.19982808343964698,M8-5.2:3_1 RY,2,66,0.029411764705882353,625
126,0.19982808343964698,M8-5.2:3_1 RY,1,67,0.014705882352941176,620
127,0.19982808343964698,M8-5.2:3_1 RY,3,65,0.04411764705882353,616
128,0.19982808343964698,C_GC3_2,3,70,0.0410958904109589,616
129,0.19982808343964698,M7L-S22: R,4,38,0.09523809523809523,614
130,0.19982808343964698,M1L-S21: C,4,30,0.11764705882352941,612
131,0.19982808343964698,M8-4.1:2_1 Y,2,64,0.030303030303030304,606
